time,code,test_year,seed,episodes,window,features,hidden,lr,gamma,target_every,eps_decay,ret,excess_bh,sortino,mdd,trades,data_hash,train_len,churn,penalty
09-15 11:56,5930,2019,1,2,20,base8,64,0.001,0.99,500,0.999,0.0549,-0.385,0.561,-0.1788,38,,3.0,none,0.0
09-15 11:56,5930,2020,1,2,20,base8,64,0.001,0.99,500,0.999,0.2269,-0.2402,1.265,-0.1934,47,,3.0,none,0.0
09-15 11:57,5930,2019,1,10,20,base8,64,0.001,0.99,500,0.999,0.0346,-0.4054,0.423,-0.176,26,,3.0,none,0.0
09-15 11:57,5930,2019,2,10,20,base8,64,0.001,0.99,500,0.999,0.0337,-0.4062,0.41,-0.1824,38,,3.0,none,0.0
09-15 11:57,5930,2019,3,10,20,base8,64,0.001,0.99,500,0.999,0.0022,-0.4377,0.124,-0.1685,46,,3.0,none,0.0
09-15 11:57,5930,2019,4,10,20,base8,64,0.001,0.99,500,0.999,0.1638,-0.2762,1.341,-0.1048,60,,3.0,none,0.0
09-15 11:58,5930,2019,5,10,20,base8,64,0.001,0.99,500,0.999,-0.002,-0.4419,0.105,-0.1366,62,,3.0,none,0.0
09-15 11:58,5930,2020,1,10,20,base8,64,0.001,0.99,500,0.999,-0.1142,-0.5812,-0.491,-0.215,45,,3.0,none,0.0
09-15 11:58,5930,2020,2,10,20,base8,64,0.001,0.99,500,0.999,0.0421,-0.4249,0.396,-0.1443,66,,3.0,none,0.0
09-15 11:58,5930,2020,3,10,20,base8,64,0.001,0.99,500,0.999,0.1099,-0.3572,0.832,-0.1755,45,,3.0,none,0.0
09-15 11:58,5930,2020,4,10,20,base8,64,0.001,0.99,500,0.999,0.1916,-0.2755,1.026,-0.2376,54,,3.0,none,0.0
09-15 11:59,5930,2020,5,10,20,base8,64,0.001,0.99,500,0.999,0.1759,-0.2912,1.368,-0.0696,51,,3.0,none,0.0
09-15 11:59,5930,2019,1,20,20,base8,64,0.001,0.99,500,0.999,0.0284,-0.4115,0.359,-0.1212,60,,3.0,none,0.0
09-15 12:00,5930,2019,2,20,20,base8,64,0.001,0.99,500,0.999,0.0041,-0.4359,0.169,-0.1847,42,,3.0,none,0.0
09-15 12:00,5930,2019,3,20,20,base8,64,0.001,0.99,500,0.999,-0.0961,-0.536,-0.778,-0.1863,74,,3.0,none,0.0
09-15 12:01,5930,2019,4,20,20,base8,64,0.001,0.99,500,0.999,0.0037,-0.4362,0.149,-0.2224,55,,3.0,none,0.0
