date,frgn_net,inst_net,indiv_net
2015-02-05,12172705000,-16376637000,3258567000
2015-02-06,16249101000,-7437897000,-7525214000
2015-02-09,17786784000,42049180000,-58493080000
2015-02-10,3699583000,13466342000,-14730210000
2015-02-11,-24529586000,-7851053000,36672329000
2015-02-12,-33612310000,5698582000,28091077000
2015-02-13,3359095000,8870699000,-12231105000
2015-02-16,14317038000,4920348000,-18673208000
2015-02-17,399136000,14107751000,-13583863000
2015-02-23,-15025968000,17635140000,-2640208000
2015-02-24,-16589911000,19833377000,-3360181000
2015-02-25,21066407000,-14414987000,-7277980000
2015-02-26,19130045000,-18543354000,-577356000
2015-02-27,3193089000,-4929103000,2106555000
2015-03-02,80045937000,63002246000,-145482800000
2015-03-03,-328206800,-1890799200,1673570000
2015-03-04,26171833000,-7361222000,-19238691000
2015-03-05,-7615747000,12338137000,-5781338000
2015-03-06,49759470000,1140607000,-50885185000
2015-03-09,-43940095000,37062258000,6819619000
2015-03-10,20150546000,-8531518000,-11797263000
2015-03-11,128365291000,-29826548000,-98051002000
2015-03-12,-6533415000,-27069665000,30177694000
2015-03-13,21547638000,7067464000,-30863641000
2015-03-16,28261719000,-10024687000,-18832396000
2015-03-17,101936700000,39862297000,-144204215000
2015-03-18,49721341000,15504449000,-63938388000
2015-03-19,-30389260000,4350461000,27057046000
2015-03-20,-40837797000,30540705000,9431497000
2015-03-23,-38902800000,22756099000,14900338000
2015-03-24,-36694737000,41321420000,-3349362000
2015-03-25,9574256000,11256938000,-17466294000
2015-03-26,-258558373000,160845577000,96536566000
2015-03-27,-78719754000,57681812000,20838470000
2015-03-30,-13582893000,10931970000,2798825000
2015-03-31,32825031000,-20140797000,-13308147000
2015-04-01,-17385485000,18123691000,-40494000
2015-04-02,-7778888000,9060488000,-1076572000
2015-04-03,-40777976000,43409913000,-1631131000
2015-04-06,22846110000,32939614000,-57451042000
2015-04-07,352757000,5965632000,-6416510000
2015-04-08,-1221301000,19121910000,-16874411000
2015-04-09,29831994000,-15733999000,-13407138000
2015-04-10,23590176000,295728000,-20851247000
2015-04-13,24925819000,-46506617000,21321441000
2015-04-14,51466091000,-57216834000,6645055000
2015-04-15,22927867000,-86253968000,63091931000
2015-04-16,101012562000,-61960100000,-39191329000
2015-04-17,21408113000,-54021386000,31143810000
2015-04-20,50613798000,-115129825000,65551018000
2015-04-21,111360562000,-104083725000,-5323020000
2015-04-22,112091143000,-49965328000,-60829562000
2015-04-23,49603724000,-69390791000,20963744000
2015-04-24,73771547000,-211035295000,137808307000
2015-04-27,-28535838000,-73860420000,101718634000
2015-04-28,-78266075000,-35846674000,113656740000
2015-04-29,18734804000,-3608453000,-16645365000
2015-04-30,70142540000,-195785000,-69631833000
2015-05-04,5930635000,-332781000,-4870966000
2015-05-06,-69577610000,-34949944000,100507102000
2015-05-07,-13663584000,10403752000,3551299000
2015-05-08,-41938566000,-32710156000,71289989000
2015-05-11,14646019000,-17915975000,4711037000
2015-05-12,-12518343000,-21253706000,27073694000
2015-05-13,4244075000,-32792092000,28721110000
2015-05-14,13276958000,-10218246000,-2515992000
2015-05-15,9330023000,-49779126000,40707768000
2015-05-18,-12289652000,16164622000,-4160053000
2015-05-19,31036807000,-6436211000,-24401641000
2015-05-20,68987894000,7479034000,-73151615000
2015-05-21,33922244000,-37944859000,3208070000
2015-05-22,-13331132000,3078755000,9350147000
2015-05-26,14954692000,1007000,-20995414000
2015-05-27,-34685086000,-49269478000,85362428000
2015-05-28,14951406000,-51190349000,34130620000
2015-05-29,-6878601000,-31414734000,38309290000
